Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome
Braley Bruce,2013, Iowa, D, H,710510,-1, N00027464,,,-0.306,53696.0,
Braley Bruce,2012, Iowa, D, H,839537,226, N00027464,,,-0.379,53696.0,
Braley Bruce,2011, Iowa, D, H,504511,263, N00027464,,,-0.379,53696.0,
Braley Bruce,2010, Iowa, D, H,436509,283, N00027464,,,-0.379,53696.0,
Braley Bruce,2009, Iowa, D, H,434011,272, N00027464,,,-0.379,53696.0,
Braley Bruce,2008, Iowa, D, H,369508,274, N00027464,,,-0.379,53696.0,
Braley Bruce,2007, Iowa, D, H,544008,249, N00027464,,,-0.379,53696.0,
Braley Bruce,2006, Iowa, D, H,568010,-1, N00027464,,,0.0,53696.0,
Brat Dave,2013, Virginia, R, H,609007,252, N00036013,,,0.0,66015.0,
Bridenstine James,2013, Oklahoma, R, H,-126499,426, N00033532,,,0.951,47691.0,
Bridenstine James,2012, Oklahoma, R, H,-22148,427, N00033532,,,0.0,47691.0,
Bridenstine James,2011, Oklahoma, R, H,38003,387, N00033532,,,0.0,47691.0,
Brooks Mo,2013, Alabama, R, H,595517,254, N00030910,49974.0,,0.837,43196.0,
Brooks Mo,2012, Alabama, R, H,962524,213, N00030910,49974.0,,0.588,43196.0,
Brooks Mo,2011, Alabama, R, H,807022,222, N00030910,49974.0,,0.588,43196.0,
Brooks Mo,2010, Alabama, R, H,755024,223, N00030910,49974.0,,0.0,43196.0,
Brooks Mo,2009, Alabama, R, H,764022,213, N00030910,49974.0,,0.0,43196.0,
Brooks Susan,2013, Indiana, R, H,4288022,87, N00033495,,,0.642,47805.0,
Brooks Susan,2012, Indiana, R, H,4221523,88, N00033495,,,0.0,47805.0,
Brooks Susan,2011, Indiana, R, H,4509517,75, N00033495,,,0.0,47805.0,
Broun Paul,2013, Georgia, R, H,312008,-1, N00028986,,,0.984,47958.0,
Broun Paul,2012, Georgia, R, H,303507,318, N00028986,,,0.941,47958.0,
Broun Paul,2011, Georgia, R, H,128008,361, N00028986,,,0.941,47958.0,
Broun Paul,2010, Georgia, R, H,584509,243, N00028986,,,0.941,47958.0,
Broun Paul,2009, Georgia, R, H,495008,261, N00028986,,,0.941,47958.0,
Broun Paul,2008, Georgia, R, H,489510,246, N00028986,,,0.941,47958.0,
Broun Paul,2007, Georgia, R, H,619010,236, N00028986,,,0.941,47958.0,
